Generation,BestFitness,AvgFitness,WorstFitness,MutationRate
0,1.6999999999999997,-3.0686000000000004,-7.4,0.01
1,3.6999999999999997,-0.5968000000000001,-6.2,0.01
2,4.5,0.7809999999999999,-3.1,0.01
3,5.1,2.0044,-2.2,0.01
4,5.3,2.6614,-2.2,0.01
5,5.9,3.2136,-2.1,0.01
6,6.2,3.8878,-0.7000000000000002,0.01
7,6.3,4.6632,1.1,0.01
8,7.5,4.9346,0.8999999999999999,0.01
9,7.7,5.3342,2.0,0.01
10,8.0,5.958399999999999,1.2,0.01
11,8.0,6.7364,3.4,0.01
12,8.0,7.092,3.9,0.01
13,8.2,7.3164,4.8,0.01
14,8.2,7.407,3.5999999999999996,0.01
15,8.7,7.5294,5.1499999999999995,0.01
16,8.7,7.6292,5.0,0.01
17,8.2,7.841,5.7,0.01
18,8.8,7.8546,6.2,0.01
19,8.8,7.9468,6.2,0.01
20,8.8,7.973199999999999,5.5,0.01
21,9.0,8.037799999999999,4.499999999999999,0.01
22,9.5,8.1612,6.499999999999999,0.01
23,9.5,8.242,6.3999999999999995,0.01
24,9.5,8.36,4.8,0.01
25,9.6,8.4952,5.1,0.01
26,9.6,8.65,5.8999999999999995,0.01
27,10.3,8.7702,6.0,0.01
28,10.3,8.930800000000001,6.1,0.01
29,10.3,9.111,7.4,0.01
30,10.3,9.319,7.1,0.01
31,10.55,9.4876,7.3,0.01
32,10.55,9.7326,4.800000000000001,0.01
33,10.55,9.8588,5.4,0.01
34,10.55,10.0556,7.3,0.01
35,11.15,10.189400000000001,8.0,0.01
36,11.15,10.1822,5.6,0.01
37,11.15,10.1976,6.2,0.01
38,11.15,10.2268,8.05,0.01
39,11.15,10.2772,7.6,0.01
40,11.15,10.263800000000002,8.05,0.01
41,11.15,10.301200000000001,8.4,0.01
42,11.15,10.3606,7.6,0.01
43,11.15,10.4266,6.45,0.01
44,11.15,10.496,7.55,0.01
45,11.15,10.539,5.85,0.01
46,11.15,10.6658,7.9,0.01
47,11.15,10.8032,7.45,0.01
48,11.15,10.824800000000002,6.45,0.01
49,11.15,10.908,7.8500000000000005,0.01
50,11.15,10.987,9.25,0.01
51,11.15,10.976600000000001,7.05,0.01
52,11.15,10.962200000000001,7.8500000000000005,0.01
53,11.15,10.9162,5.45,0.01
54,11.15,11.0042,7.05,0.01
55,11.65,11.0534,8.85,0.01
56,11.15,10.9726,6.45,0.01
57,11.15,11.0206,7.05,0.01
58,11.15,11.0448,6.45,0.01
59,11.15,11.011800000000001,6.45,0.01
60,11.15,11.0534,8.85,0.01
61,11.15,11.0374,7.65,0.01
62,11.15,11.054200000000002,8.55,0.01
63,11.65,11.0886,9.35,0.01
64,11.65,11.0574,8.85,0.01
65,11.65,11.0404,6.45,0.01
66,11.65,11.015,7.55,0.01
67,11.65,11.068,6.45,0.01
68,11.65,11.103200000000001,9.35,0.01
69,11.65,11.094800000000001,7.55,0.01
70,11.65,11.0846,6.55,0.01
71,11.65,11.2072,8.85,0.01
72,11.65,11.209800000000001,9.35,0.01
73,11.65,11.2332,7.2,0.01
74,11.65,11.303600000000001,6.45,0.01
75,11.65,11.385200000000001,6.95,0.01
76,11.65,11.458800000000002,8.85,0.01
77,11.65,11.525,8.35,0.01
78,11.65,11.4946,6.95,0.01
79,11.65,11.4756,6.95,0.01
80,11.65,11.4734,6.95,0.01
81,11.65,11.484,7.55,0.01
82,11.65,11.502600000000001,9.25,0.01
83,11.65,11.5214,8.85,0.01
84,11.65,11.4396,6.95,0.01
85,11.65,11.487,9.15,0.01
86,11.65,11.462800000000001,8.35,0.01
87,11.65,11.4554,5.8500000000000005,0.01
88,11.65,11.4906,6.95,0.01
89,11.65,11.4874,6.95,0.01
90,11.65,11.4824,8.350000000000001,0.01
91,11.65,11.4732,8.350000000000001,0.01
92,11.65,11.531600000000001,6.95,0.01
93,11.65,11.4934,6.95,0.01
94,11.65,11.506800000000002,8.65,0.01
95,11.65,11.5248,8.350000000000001,0.01
96,11.65,11.5094,7.55,0.01
97,11.65,11.5248,6.95,0.01
98,11.65,11.502,8.05,0.01
99,11.65,11.508,9.7,0.01
100,11.65,11.4922,8.15,0.01
